perkara_id;tanggal_putusan;jenis_perkara_nama;umur_p;umur_t;lama_pernikahan_bulan;faktor;kecamatan_p;kabupaten_p;kecamatan_t;kabupaten_t
27203;15/03/2021;Cerai Gugat;28;29;35;Peselisihan dan Pertengkaran Terus Menerus;Sidoarjo;Kab. Sidoarjo;Cakung;Kota Jakarta Timur
23626;15/03/2021;Cerai Talak;56;38;105;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Gedangan;Kabupaten Sidoarjo;Kecamatan Gedangan;Kabupaten Sidoarjo
26698;15/03/2021;Cerai Talak;39;38;179;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Jabon Kabupaten Sidoarjo;Kabupaten Sidoarjo;Kecamatan Jabon Kabupaten Sidoarjo.;Kabupaten Sidoarjo.
25933;15/03/2021;Cerai Gugat;21;22;36;Peselisihan dan Pertengkaran Terus Menerus;Buduran;Kab. Sidoarjo;0;Kabupaten Sidoarjo dan sekarang tidak di ketahui keberadaannya
25939;15/03/2021;Cerai Gugat;53;54;365;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman;Kabupaten Sidoarjo;Kecamatan Taman;Kabupaten Sidoarjo
27484;15/03/2021;Cerai Gugat;51;33;39;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Waru – Kabupaten Sidoarjo.;Kabupaten Sidoarjo.;Kecamatan Panggul Kabupaten Trenggalek.;Kabupaten Trenggalek.
25958;15/03/2021;Cerai Gugat;66;67;109;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krian;Kabupaten Sidoarjo;Kecamatan Krian;Kabupaten Sidoarjo
25962;15/03/2021;Cerai Gugat;34;47;124;Meninggalkan Salah Satu Pihak;Kecamatan Ngawen Kabupaten Klaten. DOMISILI. Lebo RT 018 RW 005 Desa Lebo Kecamatan Sidoarjo Kabupaten Sidoarjo;Kabupaten Klaten. DOMISILI. Lebo RT 018 RW 005 Desa Lebo Kecamatan Sidoarjo Kabupaten Sidoarjo;Kecamatan Sidoarjo Kabupaten Sidoarjo;Kabupaten Sidoarjo
26998;15/03/2021;Cerai Gugat;30;36;32;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tanggulangin;Kabupaten Sidoarjo (Rumah Orang tua Penggugat);Kecamatan Kenjeran;Kotamadya Surabaya (Rumah Orang tua Tergugat)
27595;15/03/2021;Cerai Gugat;36;32;106;Ekonomi;Kecamatan Waru kabupaten Sidoarjo;kabupaten Sidoarjo;Kecamatan Manyar Kabupaten Gresik;Kabupaten Gresik
27347;15/03/2021;Cerai Gugat;36;43;199;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Balongbendo;Kabupaten Sidaoarjo;Kecamatan Gayungan;Kota Surabaya
27366;15/03/2021;Cerai Gugat;24;;57;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tarik;Kab. Sidoarjo;Kecamatan Tarik;Kab. Sidoarjo
25843;15/03/2021;Cerai Gugat;31;30;70;Peselisihan dan Pertengkaran Terus Menerus;Kec. Sedati;Kab. Sidoarjo;Kecamatan Gedangan);Kab. Sidoarjo (sekarang tidak diketahui tempat tinggalnya yang jelas dan pasti di seluruh wilayah Republik Indonesia
25844;15/03/2021;Cerai Gugat;64;56;200;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Candi;"Kabupaten Sidoarjo. 
(Alamat Sekarang) Perumahan Sapphire Residence Blok N5 No. 11";Kecamatan Candi;Kabupaten Sidoarjo
27144;16/03/2021;Cerai Gugat;48;52;306;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Candi;"Kabupaten Sidoarjo
(Alamat Sekarang) Perumahan Bumi Candi Asri K3/27";Kecamatan Gubeng;"Kota Surabaya;"
27463;16/03/2021;Cerai Gugat;37;44;93;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Tarik;Kabupaten Sidoarjo;Kecamatan Tongas;Kabupaten Probolinggo
25928;16/03/2021;Cerai Gugat;36;38;175;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Gedangan;Kab. Sidoarjo;Kecamatan Gedangan;Kab. Sidoarjo
27240;16/03/2021;Cerai Gugat;24;;33;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Krembung;Kab. Sidoarjo;Ngoro;Kab. Mojokerto
27503;16/03/2021;Cerai Gugat;26;26;32;Peselisihan dan Pertengkaran Terus Menerus;"Kec. Rungkut
        Kota Surabaya";Kota Surabaya;Kec. Taman; Kec. Taman
25980;16/03/2021;Cerai Gugat;27;25;35;Peselisihan dan Pertengkaran Terus Menerus;Kecamatan Taman;Kabupaten Sidoarjo;Kecamatan Taman;Kabupaten Sidoarjo
